id,name,address,pname,pcode,cityname,citycode,adname,adcode,tel,type,photos,timestamp,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,大类,中类,小类
B0FFFZCUSQ,微山县湖产品经贸实业有限责任公司(西门),戚城街82号,山东省,370000,济宁市,537,微山县,370826,[],通行设施;临街院门;临街院门,[],2022-05-26T21:15:34,117.120422,34.817055,117.11449766093928,34.8177579758184,通行设施,临街院门,临街院门
B021905DDC,济宁东大寺(东门),小闸口上河西街19,山东省,370000,济宁市,537,任城区,370811,[],通行设施;临街院门;临街院正门,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/3e31c2588601b656a4c049b7f3c61016'}]",2022-05-26T21:14:45,116.587933,35.403476,116.58264339551678,35.403933831670166,通行设施,临街院门,临街院正门
B0FFFZD7XR,梁山广通挂车制造有限公司(东北门),220国道3号附近,山东省,370000,济宁市,537,梁山县,370832,[],通行设施;临街院门;临街院门,[],2022-05-26T21:14:30,116.114242,35.727961,116.10842154678193,35.72786344649346,通行设施,临街院门,临街院门
B02190YNP7,祥云花园(北门),342国道附近,山东省,370000,济宁市,537,汶上县,370830,[],通行设施;临街院门;临街院正门,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/dc689954327671122a82e4e69d4a819c'}]",2022-05-26T21:13:05,116.477224,35.752626,116.4716093985824,35.75262370641642,通行设施,临街院门,临街院正门
B0FFG4EJQV,山东环宇车轮工业园(南门),北环城路北50米,山东省,370000,济宁市,537,兖州区,370812,[],通行设施;临街院门;临街院正门,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/20767e3b59f4b458b87248b7341b94f1'}]",2022-05-26T21:11:51,116.770615,35.57786,116.7650276767198,35.578014038031014,通行设施,临街院门,临街院正门
B0HRVR2TOA,福祥丽景(南门),昌盛街与演武路中山北路南100米,山东省,370000,济宁市,537,嘉祥县,370829,[],通行设施;临街院门;临街院门,[],2022-05-26T21:11:05,116.338976,35.401444,116.33333401562824,35.40161074140071,通行设施,临街院门,临街院门
B0HKT7DBGH,滨湖养老服务中心(东门),湖陵一路与鱼新三路交叉口南540米,山东省,370000,济宁市,537,鱼台县,370827,[],通行设施;临街院门;临街院门,[],2022-05-26T21:07:47,116.655195,34.984728,116.64985798208316,34.98555547215933,通行设施,临街院门,临街院门
B0HKLUV4SD,天博工业园(北门),天博路与创业大道交叉口西380米,山东省,370000,济宁市,537,曲阜市,370881,[],通行设施;临街院门;临街院门,[],2022-05-26T21:07:37,117.055474,35.591493,117.0495387662031,35.591480575205374,通行设施,临街院门,临街院门
B0H3ZSFGUM,府河小区(东门),蒋林湾街与洸河路交叉口南80米,山东省,370000,济宁市,537,任城区,370811,[],通行设施;临街院门;临街院门,[],2022-05-26T21:04:29,116.612779,35.419759,116.60747843992864,35.4202005222087,通行设施,临街院门,临街院门
B0FFFGTYI2,育才中学(北门),洸河路26号,山东省,370000,济宁市,537,任城区,370811,[],通行设施;临街院门;临街院门,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/cad722770715e3167d213ad9b5ce4cdd'}]",2022-05-26T21:04:20,116.621762,35.420262,116.61645019199835,35.420695836104166,通行设施,临街院门,临街院门
