id,name,address,pname,pcode,cityname,citycode,adname,adcode,tel,type,photos,timestamp,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,大类,中类,小类
B0FFID9TEF,塔木香,S322欢城镇人民政府西侧约120米,山东省,370000,济宁市,537,微山县,370826,[],风景名胜;风景名胜相关;旅游景点,"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/7519acf0556dfdfd285b1ad5c2b27ad7'}]",2022-06-23T15:16:18,117.081763,34.894473,117.07584627561732,34.89508853525855,风景名胜,风景名胜相关,旅游景点
B0H33AS58W,启贤门,亚圣路1498号孟庙孟府内,山东省,370000,济宁市,537,邹城市,370883,[],风景名胜;风景名胜相关;旅游景点,[],2022-06-23T15:16:05,116.974291,35.389471,116.96869448198623,35.38982593385876,风景名胜,风景名胜相关,旅游景点
B0G29KMXZW,菩提佛堂,岗山中路古塔居民小区,山东省,370000,济宁市,537,邹城市,370883,15053779577,风景名胜;公园广场;水族馆,"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/f7b0539544dcc889c9db5516d3b6d19b'}]",2022-06-23T14:43:34,116.970767,35.398435,116.96518329137696,35.398791982209,风景名胜,公园广场,水族馆
B0FFHF12J5,孟子湖,仁和路与崇义路交叉口西北200米,山东省,370000,济宁市,537,邹城市,370883,[],风景名胜;风景名胜相关;旅游景点,"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/9cbf9f85c4ce1bcb4ab1fa9d8955e2c9'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/56513afe7d06e1b11cee190afddd2a9b'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/f750a99cdd0366baf70ee3382b119e29'}]",2022-06-23T14:23:56,117.057273,35.41375,117.05135207777292,35.41385950879661,风景名胜,风景名胜相关,旅游景点
B0FFK7ZNBW,思祖堂,文圣路16孟母三迁祠,山东省,370000,济宁市,537,邹城市,370883,[],风景名胜;风景名胜相关;旅游景点,[],2022-06-23T14:21:47,116.943029,35.407065,116.93753744308606,35.40747817857043,风景名胜,风景名胜相关,旅游景点
B0HRYXJ3PQ,归德阁,五马祠街与东马道南街交叉口西160米,山东省,370000,济宁市,537,曲阜市,370881,[],风景名胜;风景名胜相关;旅游景点,[],2022-06-23T13:18:09,116.997472,35.594383,116.9917574690372,35.594522628189495,风景名胜,风景名胜相关,旅游景点
B0HGNDM4ZW,兖州烈士井,西护城河北路华勤紫金城东北侧约130米,山东省,370000,济宁市,537,兖州区,370812,[],风景名胜;风景名胜相关;旅游景点,[],2022-06-23T12:37:29,116.818332,35.560614,116.81280580438246,35.560845554462624,风景名胜,风景名胜相关,旅游景点
B0FFL04DBM,金乡县羊山镇满庄村满氏民居,育才路附近,山东省,370000,济宁市,537,金乡县,370828,[],风景名胜;风景名胜相关;旅游景点,[],2022-06-23T12:07:02,116.271763,35.17803,116.2662599717782,35.17851760810228,风景名胜,风景名胜相关,旅游景点
B0H6D1EDTQ,太白湖旅游度假区,太白湖北线,山东省,370000,济宁市,537,任城区,370811,[],风景名胜;风景名胜相关;旅游景点,[],2022-06-23T12:03:10,116.584305,35.328159,116.57902143024376,35.32868112094977,风景名胜,风景名胜相关,旅游景点
B0HR4UY8JJ,法德文化广场,泉衍路与永仁路交叉口西80米,山东省,370000,济宁市,537,泗水县,370831,[],风景名胜;公园广场;城市广场,"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/8350ee25768e930027ae4c77d444de03'}]",2022-06-23T12:02:09,117.2641,35.649383,117.25822315045966,35.64947604006357,风景名胜,公园广场,城市广场
B0FFI2RP4O,安山寺,103省道,山东省,370000,济宁市,537,泗水县,370831,[],风景名胜;风景名胜;寺庙道观,"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/2428b8b17be5bce5c26c67e2dae06988'}]",2022-06-23T11:32:13,117.417404,35.545891,117.41127356359353,35.54586519448403,风景名胜,风景名胜,寺庙道观
B0FFJHDPAZ,伍统鼓楼,龙行路南池公园北侧,山东省,370000,济宁市,537,任城区,370811,[],风景名胜;风景名胜相关;旅游景点,[],2022-06-23T11:11:13,116.580453,35.397685,116.575160080575,35.39814321338874,风景名胜,风景名胜相关,旅游景点
B0FFIWM20H,孟里老家,小孟镇苏户村、梁家村,山东省,370000,济宁市,537,兖州区,370812,[],风景名胜;风景名胜;省级景点,"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/7bff7360a3280065a2e84b676fde0a86'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/e24fe7911df3d12c28a7f3d3e3394758'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/c063d9ffcb3400eb9ba5975d288957ab'}]",2022-06-23T10:51:20,116.704259,35.655985,116.6987281357435,35.656126025218505,风景名胜,风景名胜,省级景点
